layer,current,proposed,cp,hardware,comment,notes
turnout,Switch 118,Switch 11,,M2T1309,"Node: 13 Turnout: 1 | DCC: 118 | OU: 3 Ports: 3,4",historical alias; CTC Switch 11 (was 118); hand-throw; Engine House
turnout,Switch 116,Switch 13,Engine House,M2T411,"Node: 4 Turnout: 3 | DCC: 116 | OU: 1 Ports: 7,8",historical alias; CTC Switch 13 (was 116); hand-throw
turnout,Switch 103,Switch 15,South Yard,M2T308,"Node: 3 Turnout: 0 | DCC: 103 | OU: 1 Ports: 1,2",historical alias; CTC Switch 15 (was 103); keep; east of Barn
turnout,Switch 104,Switch 17,South Yard,M2T309,"Node: 3 Turnout: 1 | DCC: 104 | OU: 1 Ports: 3,4",historical alias; CTC Switch 17 (was 104); keep; hand-throw
turnout,Switch 105,Switch 19,South Yard,M2T310,"Node: 3 Turnout: 2 | DCC: 105 | OU: 1 Ports: 5,6",historical alias; CTC Switch 19 (was 105); keep; hand-throw
turnout,Switch 106,Switch 21,South Yard,M2T311,"Node: 3 Turnout: 3 | DCC: 106 | OU: 1 Ports: 7,8",historical alias; CTC Switch 21 (was 106); keep; hand-throw
turnout,Switch 111,Switch 23,East End,M2T1212,"Node: 12 Turnout: 4 | DCC: 111 | OU: 4 Ports: 1,2",historical alias; CTC Switch 23 (was 111); keep; crossover 23a/23b
turnout,Switch 107,Switch 25,East End,M2T1208,"Node: 12 Turnout: 0 | DCC: 107 | OU: 1 Ports: 1,2",historical alias; CTC Switch 25 (was 107); keep
turnout,Switch 108,Switch 27,East End,M2T1209,"Node: 12 Turnout: 1 | DCC: 108 | OU: 1 Ports: 3,4",historical alias; CTC Switch 27 (was 108); keep
turnout,Switch 109,Switch 29,East End,M2T1210,"Node: 12 Turnout: 2 | DCC: 109 | OU: 1 Ports: 5,6",historical alias; CTC Switch 29 (was 109); keep
turnout,Switch 101,Switch 3,Brick,M2T409,"Node: 4 Turnout: 1 | DCC: 101 | OU: 1 Ports: 3,4",historical alias; CTC Switch 3 (was 101); keep
turnout,Switch 110,Switch 31,East End,M2T1211,"Node: 12 Turnout: 3 | DCC: 110 | OU: 1 Ports: 7,8",historical alias; CTC Switch 31 (was 110); keep
turnout,Switch 112,Switch 33,East End,M2T1213,"Node: 12 Turnout: 5 | DCC: 112 | OU: 4 Ports: 3,4",historical alias; CTC Switch 33 (was 112); keep
turnout,Switch 113,Switch 35,Princess,M2T108,"Node: 1 Turnout: 0 | DCC: 113 | OU: 1 Ports: 1,2",historical alias; CTC Switch 35 (was 113); keep; crossover 35a/35b
turnout,Switch 114,Switch 37,Princess,M2T109,"Node: 1 Turnout: 1 | DCC: 114 | OU: 1 Ports: 3,4",historical alias; CTC Switch 37 (was 114); keep
turnout,Switch 115,Switch 39,Princess,M2T110,"Node: 1 Turnout: 2 | DCC: 115 | OU: 1 Ports: 5,6",historical alias; CTC Switch 39 (was 115); keep
turnout,Switch 102,Switch 5,Plane,M2T410,"Node: 4 Turnout: 2 | DCC: 102 | OU: 1 Ports: 5,6",historical alias; CTC Switch 5 (was 102); keep
turnout,Switch 117,Switch 7,Barn,M2T1308,"Node: 13 Turnout: 0 | DCC: 117 | OU: 3 Ports: 1,2",historical alias; CTC Switch 7 (was 117); crossover 7/7b; field still hand-throw
turnout,Switch 119,Switch 9,,M2T1310,"Node: 13 Turnout: 2 | DCC: 119 | OU: 3 Ports: 5,6",historical alias; CTC Switch 9 (was 119); hand-throw; Engine House
turnout,DCC Switch 1,DCC Switch 1,,MTT100,"Node: 4 Turnout: 0 | OU: 1 Ports: 1,2",LCC alias of Switch 1 (M2T408)
turnout,Switch 1 alias,DCC Switch 1,,MTT100,"Node: 4 Turnout: 0 | OU: 1 Ports: 1,2",historical alias; was Switch N alias
turnout,DCC Switch 3,DCC Switch 3,,MTT101,"Node: 4 Turnout: 1 | OU: 1 Ports: 3,4",LCC alias of Switch 3 (M2T409)
turnout,DCC Switch 5,DCC Switch 5,,MTT102,"Node: 4 Turnout: 2 | OU: 1 Ports: 5,6",LCC alias of Switch 5 (M2T410)
turnout,DCC Switch 15,DCC Switch 15,,MTT103,"Node: 3 Turnout: 0 | OU: 1 Ports: 1,2",LCC alias of Switch 15 (M2T308)
turnout,DCC Switch 17,DCC Switch 17,,MTT104,"Node: 3 Turnout: 1 | OU: 1 Ports: 3,4",LCC alias of Switch 17 (M2T309)
turnout,DCC Switch 19,DCC Switch 19,,MTT105,"Node: 3 Turnout: 2 | OU: 1 Ports: 5,6",LCC alias of Switch 19 (M2T310)
turnout,DCC Switch 21,DCC Switch 21,,MTT106,"Node: 3 Turnout: 3 | OU: 1 Ports: 7,8",LCC alias of Switch 21 (M2T311)
turnout,DCC Switch 25,DCC Switch 25,,MTT107,"Node: 12 Turnout: 0 | OU: 1 Ports: 1,2",LCC alias of Switch 25 (M2T1208)
turnout,DCC Switch 27,DCC Switch 27,,MTT108,"Node: 12 Turnout: 1 | OU: 1 Ports: 3,4",LCC alias of Switch 27 (M2T1209)
turnout,DCC Switch 29,DCC Switch 29,,MTT109,"Node: 12 Turnout: 2 | OU: 1 Ports: 5,6",LCC alias of Switch 29 (M2T1210)
turnout,DCC Switch 31,DCC Switch 31,,MTT110,"Node: 12 Turnout: 3 | OU: 1 Ports: 7,8",LCC alias of Switch 31 (M2T1211)
turnout,DCC Switch 23,DCC Switch 23,,MTT111,"Node: 12 Turnout: 4 | OU: 4 Ports: 1,2",LCC alias of Switch 23 (M2T1212)
turnout,Switch 23 alias,DCC Switch 23,,MTT111,"Node: 12 Turnout: 4 | OU: 4 Ports: 1,2",historical alias; was Switch N alias
turnout,DCC Switch 33,DCC Switch 33,,MTT112,"Node: 12 Turnout: 5 | OU: 4 Ports: 3,4",LCC alias of Switch 33 (M2T1213)
turnout,DCC Switch 35,DCC Switch 35,,MTT113,"Node: 1 Turnout: 0 | OU: 1 Ports: 1,2",LCC alias of Switch 35 (M2T108)
turnout,Switch 35 alias,DCC Switch 35,,MTT113,"Node: 1 Turnout: 0 | OU: 1 Ports: 1,2",historical alias; was Switch N alias
turnout,DCC Switch 37,DCC Switch 37,,MTT114,"Node: 1 Turnout: 1 | OU: 1 Ports: 3,4",LCC alias of Switch 37 (M2T109)
turnout,Switch 37 alias,DCC Switch 37,,MTT114,"Node: 1 Turnout: 1 | OU: 1 Ports: 3,4",historical alias; was Switch N alias
turnout,DCC Switch 39,DCC Switch 39,,MTT115,"Node: 1 Turnout: 2 | OU: 1 Ports: 5,6",LCC alias of Switch 39 (M2T110)
turnout,Switch 39 alias,DCC Switch 39,,MTT115,"Node: 1 Turnout: 2 | OU: 1 Ports: 5,6",historical alias; was Switch N alias
turnout,DCC Switch 13,DCC Switch 13,,MTT116,"Node: 4 Turnout: 3 | OU: 1 Ports: 7,8",LCC alias of Switch 13 (M2T411)
turnout,DCC Switch 7,DCC Switch 7,,MTT117,"Node: 13 Turnout: 0 | OU: 3 Ports: 1,2",LCC alias of Switch 7 (M2T1308)
turnout,DCC Switch 11,DCC Switch 11,,MTT118,"Node: 13 Turnout: 1 | OU: 3 Ports: 3,4",LCC alias of Switch 11 (M2T1309)
turnout,DCC Switch 9,DCC Switch 9,,MTT119,"Node: 13 Turnout: 2 | OU: 3 Ports: 5,6",LCC alias of Switch 9 (M2T1310)
block,OS Switch 1,OS Switch 1,Brick,Block 4-2,Brick,
block,OS Switch 11,OS Switch 11,Engine House,Block 13-2,Engine House,
block,OS Switch 13,OS Switch 13,Engine House,Block 3-1,Engine House,
block,OS Switch 15,OS Switch 15,South Yard,Block 3-2,South Yard,
block,OS Switch 17,OS Switch 17,South Yard,Block 3-3,South Yard,
block,OS Switch 19,OS Switch 19,South Yard,Block 3-5,South Yard,
block,OS Switch 21,OS Switch 21,South Yard,Block 3-7,South Yard,
block,OS Switch 23a,OS Switch 23a,East End,Block 12-4,East End,
block,OS Switch 23b,OS Switch 23b,East End,Block 12-6,East End,
block,OS Switch 25,OS Switch 25,East End,Block 12-1,East End,
block,OS Switch 27,OS Switch 27,East End,Block 12-3,East End,
block,OS Switch 29,OS Switch 29,East End,Block 12-5,East End,
block,OS Switch 3,OS Switch 3,Brick,Block 4-1,Brick,
block,OS Switch 31,OS Switch 31,East End,Block 12-7,East End,
block,OS Switch 33,OS Switch 33,East End,Block 12-8,East End,
block,OS Switch 35a,OS Switch 35a,Princess,Block 1-6,Princess,
block,OS Switch 35b,OS Switch 35b,Princess,Block 1-5,Princess,
block,OS Switch 37,OS Switch 37,Princess,Block 1-3,Princess,
block,OS Switch 39,OS Switch 39,Princess,Block 1-4,Princess,
block,OS Switch 5,OS Switch 5,Plane,Block 4-5,Plane,
block,OS Switch 7,OS Switch 7,Barn,Block 13-3,Barn,
block,OS Switch 7b,OS Switch 7b,Barn,Block 13-4,Barn,
block,OS Switch 9,OS Switch 9,Engine House,Block 13-8,Engine House,
block,Track Barn,Track Barn,Barn,Block 13-1,Barn,
block,Track Brick-Plane,Track Brick-Plane,Brick,Block 4-6,Brick,
block,Track EH-1,Track EH-1,Engine House,Block 13-7,Engine House,
block,Track EH-2,Track EH-2,Engine House,Block 13-6,Engine House,
block,Track EH-3,Track EH-3,Engine House,Block 13-5,Engine House,
block,Track East Lead,Track East Lead,East End,Block 1-7,East End,
block,Track East Main Ext,Track East Main Ext,Plane,Block 4-7,Plane,
block,Track K-1,Track K-1,Princess,Block 1-4,Princess,
block,Track K-2,Track K-2,Princess,Block 1-3,Princess,
block,Track Main East,Track Main East,,Block 2-3,,
block,Track Main West,Track Main West,,Block 2-1,,
block,Track McKees Rocks,Track McKees Rocks,Princess,Block 1-1,Princess,
block,Track McKeesport,Track McKeesport,Princess,Block 1-2,Princess,
block,Track S-1,Track S-1,South Yard,Block 2-7,South Yard,
block,Track S-2,Track S-2,South Yard,Block 2-6,South Yard,
block,Track S-3,Track S-3,South Yard,Block 2-5,South Yard,
block,Track S-4,Track S-4,South Yard,Block 2-4,South Yard,
block,Track S-R,Track S-R,South Yard,Block 2-8,South Yard,
block,Track Scale,Track Scale,Plane,Block 4-8,Plane,
block,Track W-1,Track W-1,Brick,Block 4-4,Brick,
block,Track W-2,Track W-2,Brick,Block 4-3,Brick,
block,Track West Main Ext,Track West Main Ext,East End,Block 1-8,East End,
block,OS 1,OS Switch 1,Brick,Block 4-2,Brick,historical alias
block,OS 100,OS Switch 1,Brick,Block 4-2,Brick,historical alias; CP in comment
block,OS 100 (Brick),OS Switch 1,Brick,Block 4-2,Brick,historical alias; CP in comment
block,Track 1,OS Switch 1,Brick,Block 4-2,Brick,historical alias
block,OS 11,OS Switch 11,Engine House,Block 13-2,Engine House,historical alias
block,OS 118,OS Switch 11,Engine House,Block 13-2,Engine House,historical alias; MQTT 1301
block,OS 118 (West Yard),OS Switch 11,Engine House,Block 13-2,Engine House,historical alias; MQTT 1301
block,Track 11,OS Switch 11,Engine House,Block 13-2,Engine House,historical alias
block,OS 116,OS Switch 13,Engine House,Block 3-1,Engine House,historical alias; hand-throw
block,OS 116 (West Yard),OS Switch 13,Engine House,Block 3-1,Engine House,historical alias; hand-throw
block,OS 13,OS Switch 13,Engine House,Block 3-1,Engine House,historical alias
block,Track 13,OS Switch 13,Engine House,Block 3-1,Engine House,historical alias
block,OS 103,OS Switch 15,South Yard,Block 3-2,South Yard,historical alias; CP in comment; between Barn and S-R
block,OS 103 (South Yard),OS Switch 15,South Yard,Block 3-2,South Yard,historical alias; CP in comment; between Barn and South Yard 1
block,OS 15,OS Switch 15,South Yard,Block 3-2,South Yard,historical alias
block,Track 15,OS Switch 15,South Yard,Block 3-2,South Yard,historical alias
block,OS 104,OS Switch 17,South Yard,Block 3-3,South Yard,historical alias; CP in comment
block,OS 104 (South Yard),OS Switch 17,South Yard,Block 3-3,South Yard,historical alias; CP in comment
block,OS 17,OS Switch 17,South Yard,Block 3-3,South Yard,historical alias
block,Track 17,OS Switch 17,South Yard,Block 3-3,South Yard,historical alias
block,OS 105,OS Switch 19,South Yard,Block 3-5,South Yard,historical alias; CP in comment
block,OS 105 (South Yard),OS Switch 19,South Yard,Block 3-5,South Yard,historical alias; CP in comment
block,OS 19,OS Switch 19,South Yard,Block 3-5,South Yard,historical alias
block,Track 19,OS Switch 19,South Yard,Block 3-5,South Yard,historical alias
block,OS 106,OS Switch 21,South Yard,Block 3-7,South Yard,historical alias; CP in comment
block,OS 106 (South Yard),OS Switch 21,South Yard,Block 3-7,South Yard,historical alias; CP in comment
block,OS 21,OS Switch 21,South Yard,Block 3-7,South Yard,historical alias
block,Track 21,OS Switch 21,South Yard,Block 3-7,South Yard,historical alias
block,OS 111a,OS Switch 23a,East End,Block 12-4,East End,historical alias; CP in comment
block,OS 111a (East End),OS Switch 23a,East End,Block 12-4,East End,historical alias; CP in comment
block,OS 23a,OS Switch 23a,East End,Block 12-4,East End,historical alias
block,Track 23a,OS Switch 23a,East End,Block 12-4,East End,historical alias
block,OS 111b,OS Switch 23b,East End,Block 12-6,East End,historical alias; CP in comment
block,OS 111b (East End),OS Switch 23b,East End,Block 12-6,East End,historical alias; CP in comment
block,OS 23b,OS Switch 23b,East End,Block 12-6,East End,historical alias
block,Track 23b,OS Switch 23b,East End,Block 12-6,East End,historical alias
block,OS 107,OS Switch 25,East End,Block 12-1,East End,historical alias; CP in comment
block,OS 107 (East End),OS Switch 25,East End,Block 12-1,East End,historical alias; CP in comment
block,OS 25,OS Switch 25,East End,Block 12-1,East End,historical alias
block,Track 25,OS Switch 25,East End,Block 12-1,East End,historical alias
block,OS 108,OS Switch 27,East End,Block 12-3,East End,historical alias; CP in comment
block,OS 108 (East End),OS Switch 27,East End,Block 12-3,East End,historical alias; CP in comment
block,OS 27,OS Switch 27,East End,Block 12-3,East End,historical alias
block,Track 27,OS Switch 27,East End,Block 12-3,East End,historical alias
block,OS 109,OS Switch 29,East End,Block 12-5,East End,historical alias; CP in comment
block,OS 109 (East End),OS Switch 29,East End,Block 12-5,East End,historical alias; CP in comment
block,OS 29,OS Switch 29,East End,Block 12-5,East End,historical alias
block,Track 29,OS Switch 29,East End,Block 12-5,East End,historical alias
block,OS 101,OS Switch 3,Brick,Block 4-1,Brick,historical alias; CP in comment
block,OS 101 (Brick),OS Switch 3,Brick,Block 4-1,Brick,historical alias; CP in comment
block,OS 3,OS Switch 3,Brick,Block 4-1,Brick,historical alias
block,Track 3,OS Switch 3,Brick,Block 4-1,Brick,historical alias
block,OS 110,OS Switch 31,East End,Block 12-7,East End,historical alias; CP in comment
block,OS 110 (East End),OS Switch 31,East End,Block 12-7,East End,historical alias; CP in comment
block,OS 31,OS Switch 31,East End,Block 12-7,East End,historical alias
block,Track 31,OS Switch 31,East End,Block 12-7,East End,historical alias
block,OS 112,OS Switch 33,East End,Block 12-8,East End,historical alias; CP in comment
block,OS 112 (East End),OS Switch 33,East End,Block 12-8,East End,historical alias; CP in comment
block,OS 33,OS Switch 33,East End,Block 12-8,East End,historical alias
block,Track 33,OS Switch 33,East End,Block 12-8,East End,historical alias
block,OS 113a,OS Switch 35a,Princess,Block 1-6,Princess,historical alias; CP in comment
block,OS 113a (Princess),OS Switch 35a,Princess,Block 1-6,Princess,historical alias; CP in comment
block,OS 35a,OS Switch 35a,Princess,Block 1-6,Princess,historical alias
block,Track 35a,OS Switch 35a,Princess,Block 1-6,Princess,historical alias
block,OS 113b,OS Switch 35b,Princess,Block 1-5,Princess,historical alias; CP in comment
block,OS 113b (Princess),OS Switch 35b,Princess,Block 1-5,Princess,historical alias; CP in comment
block,OS 35b,OS Switch 35b,Princess,Block 1-5,Princess,historical alias
block,Track 35b,OS Switch 35b,Princess,Block 1-5,Princess,historical alias
block,OS 114,OS Switch 37,Princess,Block 1-3,Princess,historical alias; CP in comment; same circuit as K-2
block,OS 114 (Princess),OS Switch 37,Princess,Block 1-3,Princess,historical alias; CP in comment; same circuit as K-2
block,OS 37,OS Switch 37,Princess,Block 1-3,Princess,historical alias
block,Track 37,OS Switch 37,Princess,Block 1-3,Princess,historical alias
block,OS 115,OS Switch 39,Princess,Block 1-4,Princess,historical alias; CP in comment; same circuit as K-1
block,OS 115 (Princess),OS Switch 39,Princess,Block 1-4,Princess,historical alias; CP in comment; same circuit as K-1
block,OS 39,OS Switch 39,Princess,Block 1-4,Princess,historical alias
block,Track 39,OS Switch 39,Princess,Block 1-4,Princess,historical alias
block,OS 102,OS Switch 5,Plane,Block 4-5,Plane,historical alias; CP in comment
block,OS 102 (Plane),OS Switch 5,Plane,Block 4-5,Plane,historical alias; CP in comment
block,OS 5,OS Switch 5,Plane,Block 4-5,Plane,historical alias
block,Track 5,OS Switch 5,Plane,Block 4-5,Plane,historical alias
block,OS 117,OS Switch 7,Barn,Block 13-3,Barn,historical alias; Barn CP crossover north/west leg
block,OS 117 (West Yard),OS Switch 7,Barn,Block 13-3,Barn,historical alias of OS 117
block,OS 7,OS Switch 7,Barn,Block 13-3,Barn,historical alias
block,Track 7,OS Switch 7,Barn,Block 13-3,Barn,historical alias
block,OS 117b,OS Switch 7b,Barn,Block 13-4,Barn,historical alias; MQTT 1303
block,OS 117b (West Yard),OS Switch 7b,Barn,Block 13-4,Barn,historical alias; MQTT 1303
block,OS 7b,OS Switch 7b,Barn,Block 13-4,Barn,historical alias
block,Track 7b,OS Switch 7b,Barn,Block 13-4,Barn,historical alias
block,OS 119,OS Switch 9,Engine House,Block 13-8,Engine House,historical alias; MQTT 1307
block,OS 119 (West Yard),OS Switch 9,Engine House,Block 13-8,Engine House,historical alias; MQTT 1307
block,OS 9,OS Switch 9,Engine House,Block 13-8,Engine House,historical alias
block,Track 9,OS Switch 9,Engine House,Block 13-8,Engine House,historical alias
block,Barn,Track Barn,Barn,Block 13-1,Barn,historical alias; MQTT 1300; 117 to 116; was Yard T6
block,OS Barn,Track Barn,Barn,Block 13-1,Barn,historical alias
block,South Yard West,Track Barn,Barn,Block 13-1,Barn,historical alias; alias after Scale/West public names
block,Yard T6,Track Barn,Barn,Block 13-1,Barn,historical alias; MQTT 1300; 117 to 116; was South Yard West
block,Block 100-102,Track Brick-Plane,Brick,Block 4-6,Brick,historical alias; alias retire
block,Brick-Plane,Track Brick-Plane,Brick,Block 4-6,Brick,historical alias; also listed as Block 100-102
block,Main West Brick-Plane,Track Brick-Plane,Brick,Block 4-6,Brick,historical alias; also listed as Block 100-102
block,OS Brick-Plane,Track Brick-Plane,Brick,Block 4-6,Brick,historical alias
block,EH-1,Track EH-1,Engine House,Block 13-7,Engine House,historical alias; top house; MQTT 1306 (swapped vs plate order vs EH-3)
block,ET-3,Track EH-1,Engine House,Block 13-7,Engine House,historical alias; CATS station alias
block,Engine House 1,Track EH-1,Engine House,Block 13-7,Engine House,historical alias; was Engine House 1; plate EH-1
block,OS EH-1,Track EH-1,Engine House,Block 13-7,Engine House,historical alias
block,Yard T9,Track EH-1,Engine House,Block 13-7,Engine House,historical alias; MQTT 1306
block,EH-2,Track EH-2,Engine House,Block 13-6,Engine House,historical alias; MQTT 1305
block,ET-2,Track EH-2,Engine House,Block 13-6,Engine House,historical alias; CATS station alias
block,Engine House 2,Track EH-2,Engine House,Block 13-6,Engine House,historical alias; was Engine House 2; plate EH-2
block,OS EH-2,Track EH-2,Engine House,Block 13-6,Engine House,historical alias
block,Yard T10,Track EH-2,Engine House,Block 13-6,Engine House,historical alias; MQTT 1305
block,EH-3,Track EH-3,Engine House,Block 13-5,Engine House,historical alias; bottom house; MQTT 1304 (swapped vs plate order vs EH-1)
block,ET-1,Track EH-3,Engine House,Block 13-5,Engine House,historical alias; CATS station alias
block,Engine House 3,Track EH-3,Engine House,Block 13-5,Engine House,historical alias; was Engine House 3; plate EH-3
block,OS EH-3,Track EH-3,Engine House,Block 13-5,Engine House,historical alias
block,Yard T11,Track EH-3,Engine House,Block 13-5,Engine House,historical alias; MQTT 1304
block,East Lead,Track East Lead,East End,Block 1-7,East End,historical alias; east of 110/112 toward Princess
block,OS East Lead,Track East Lead,East End,Block 1-7,East End,historical alias
block,South Yard East,Track East Lead,East End,Block 1-7,East End,historical alias; was South Yard East; dest East Lead
block,East Main Ext,Track East Main Ext,Plane,Block 4-7,Plane,historical alias; keep
block,OS East Main Ext,Track East Main Ext,Plane,Block 4-7,Plane,historical alias
block,K-1,Track K-1,Princess,Block 1-4,Princess,historical alias; keep; same sensor as OS 115
block,OS K-1,Track K-1,Princess,Block 1-4,Princess,historical alias
block,K-2,Track K-2,Princess,Block 1-3,Princess,historical alias; keep; same sensor as OS 114
block,OS K-2,Track K-2,Princess,Block 1-3,Princess,historical alias
block,Main East,Track Main East,,Block 2-3,,historical alias; keep
block,OS Main East,Track Main East,,Block 2-3,,historical alias
block,Main West,Track Main West,,Block 2-1,,historical alias; keep
block,OS Main West,Track Main West,,Block 2-1,,historical alias
block,McKees Rocks,Track McKees Rocks,Princess,Block 1-1,Princess,historical alias; keep
block,OS McKees Rocks,Track McKees Rocks,Princess,Block 1-1,Princess,historical alias
block,McKeesport,Track McKeesport,Princess,Block 1-2,Princess,historical alias; keep
block,OS McKeesport,Track McKeesport,Princess,Block 1-2,Princess,historical alias
block,OS S-1,Track S-1,South Yard,Block 2-7,South Yard,historical alias
block,S-2,Track S-1,South Yard,Block 2-7,South Yard,historical alias; plate S-1
block,South Yard 2,Track S-1,South Yard,Block 2-7,South Yard,historical alias; was South Yard 2; plate S-1
block,Yard Track 2,Track S-1,South Yard,Block 2-7,South Yard,historical alias; plate S-1
block,S-2 East,Track S-1 East,South Yard,Block 2-7,,historical alias; hidden S-1 east throat; same occupancy as S-1 (Block 2-7)
block,S-2 West,Track S-1 West,South Yard,Block 2-7,,historical alias; hidden S-1 west throat; same occupancy as S-1 (Block 2-7)
block,OS S-2,Track S-2,South Yard,Block 2-6,South Yard,historical alias
block,S-3,Track S-2,South Yard,Block 2-6,South Yard,historical alias; plate S-2
block,South Yard 3,Track S-2,South Yard,Block 2-6,South Yard,historical alias; was South Yard 3; plate S-2
block,Yard Track 3,Track S-2,South Yard,Block 2-6,South Yard,historical alias; plate S-2
block,S-3 East,Track S-2 East,South Yard,Block 2-6,,historical alias; hidden S-2 east throat; same occupancy as S-2 (Block 2-6)
block,S-3 West,Track S-2 West,South Yard,Block 2-6,,historical alias; hidden S-2 west throat; same occupancy as S-2 (Block 2-6)
block,OS S-3,Track S-3,South Yard,Block 2-5,South Yard,historical alias
block,S-4,Track S-3,South Yard,Block 2-5,South Yard,historical alias; plate S-3
block,South Yard 4,Track S-3,South Yard,Block 2-5,South Yard,historical alias; was South Yard 4; plate S-3
block,Yard Track 4,Track S-3,South Yard,Block 2-5,South Yard,historical alias; plate S-3
block,S-4 East,Track S-3 East,South Yard,Block 2-5,,historical alias; hidden S-3 east throat; same occupancy as S-3 (Block 2-5)
block,S-4 West,Track S-3 West,South Yard,Block 2-5,,historical alias; hidden S-3 west throat; same occupancy as S-3 (Block 2-5)
block,OS S-4,Track S-4,South Yard,Block 2-4,South Yard,historical alias
block,S-5,Track S-4,South Yard,Block 2-4,South Yard,historical alias; plate S-4
block,South Yard 5,Track S-4,South Yard,Block 2-4,South Yard,historical alias; was South Yard 5; plate S-4
block,Yard Track 5,Track S-4,South Yard,Block 2-4,South Yard,historical alias; plate S-4
block,S-5 East,Track S-4 East,South Yard,Block 2-4,,historical alias; hidden S-4 east throat; same occupancy as S-4 (Block 2-4)
block,S-5 West,Track S-4 West,South Yard,Block 2-4,,historical alias; hidden S-4 west throat; same occupancy as S-4 (Block 2-4)
block,OS S-R,Track S-R,South Yard,Block 2-8,South Yard,historical alias
block,S-1,Track S-R,South Yard,Block 2-8,South Yard,historical alias; run-through east of 103 to 110/112; plate S-R
block,South Yard 1,Track S-R,South Yard,Block 2-8,South Yard,historical alias; was South Yard 1; plate S-R
block,Yard Track 1,Track S-R,South Yard,Block 2-8,South Yard,historical alias; run-through east of 103 to 110/112; plate S-R
block,S-1 East,Track S-R East,South Yard,Block 2-8,,historical alias; hidden S-R east throat; same occupancy as S-R (Block 2-8)
block,S-1 West,Track S-R West,South Yard,Block 2-8,,historical alias; hidden S-R west throat; same occupancy as S-R (Block 2-8)
block,OS Scale,Track Scale,Plane,Block 4-8,Plane,historical alias
block,Scale,Track Scale,Plane,Block 4-8,Plane,historical alias; Plane diverging to 117; was Yard T1
block,South Yard Scale,Track Scale,Plane,Block 4-8,Plane,historical alias; alias after Scale/West public names
block,Yard T1,Track Scale,Plane,Block 4-8,Plane,historical alias; Plane diverging to 117; was South Yard Scale
block,OS W-1,Track W-1,Brick,Block 4-4,Brick,historical alias
block,W-1,Track W-1,Brick,Block 4-4,Brick,historical alias; yard body; access Switch 3 only; plate W-1
block,West Yard 1,Track W-1,Brick,Block 4-4,Brick,historical alias; yard body; access Switch 3 only; plate W-1
block,OS W-2,Track W-2,Brick,Block 4-3,Brick,historical alias
block,W-2,Track W-2,Brick,Block 4-3,Brick,historical alias; yard body; access Switch 3 only; plate W-2
block,West Yard 2,Track W-2,Brick,Block 4-3,Brick,historical alias; yard body; access Switch 3 only; plate W-2
