layer,hardware,current,proposed,cp,comment,notes
block,Block 4-2,OS 100 (Brick),OS Switch 1,Brick,Brick,historical alias; CP in comment
block,Block 4-2,Track 1,OS Switch 1,Brick,Brick,historical alias
block,Block 13-2,OS 11,OS Switch 11,Engine House,Engine House,historical alias
block,Block 13-2,OS 118,OS Switch 11,Engine House,Engine House,historical alias; MQTT 1301
block,Block 13-2,OS 118 (West Yard),OS Switch 11,Engine House,Engine House,historical alias; MQTT 1301
block,Block 13-2,Track 11,OS Switch 11,Engine House,Engine House,historical alias
block,Block 3-1,OS 116,OS Switch 13,Engine House,Engine House,historical alias; hand-throw
block,Block 3-1,OS 116 (West Yard),OS Switch 13,Engine House,Engine House,historical alias; hand-throw
block,Block 3-1,OS 13,OS Switch 13,Engine House,Engine House,historical alias
block,Block 3-1,Track 13,OS Switch 13,Engine House,Engine House,historical alias
block,Block 3-2,OS 103,OS Switch 15,South Yard,South Yard,historical alias; CP in comment; between Barn and S-R
block,Block 3-2,OS 103 (South Yard),OS Switch 15,South Yard,South Yard,historical alias; CP in comment; between Barn and South Yard 1
block,Block 3-2,OS 15,OS Switch 15,South Yard,South Yard,historical alias
block,Block 3-2,Track 15,OS Switch 15,South Yard,South Yard,historical alias
block,Block 3-3,OS 104,OS Switch 17,South Yard,South Yard,historical alias; CP in comment
block,Block 3-3,OS 104 (South Yard),OS Switch 17,South Yard,South Yard,historical alias; CP in comment
block,Block 3-3,OS 17,OS Switch 17,South Yard,South Yard,historical alias
block,Block 3-3,Track 17,OS Switch 17,South Yard,South Yard,historical alias
block,Block 3-5,OS 105,OS Switch 19,South Yard,South Yard,historical alias; CP in comment
block,Block 3-5,OS 105 (South Yard),OS Switch 19,South Yard,South Yard,historical alias; CP in comment
block,Block 3-5,OS 19,OS Switch 19,South Yard,South Yard,historical alias
block,Block 3-5,Track 19,OS Switch 19,South Yard,South Yard,historical alias
block,Block 3-7,OS 106,OS Switch 21,South Yard,South Yard,historical alias; CP in comment
block,Block 3-7,OS 106 (South Yard),OS Switch 21,South Yard,South Yard,historical alias; CP in comment
block,Block 3-7,OS 21,OS Switch 21,South Yard,South Yard,historical alias
block,Block 3-7,Track 21,OS Switch 21,South Yard,South Yard,historical alias
block,Block 12-4,OS 111a,OS Switch 23a,East End,East End,historical alias; CP in comment
block,Block 12-4,OS 111a (East End),OS Switch 23a,East End,East End,historical alias; CP in comment
block,Block 12-4,OS 23a,OS Switch 23a,East End,East End,historical alias
block,Block 12-4,Track 23a,OS Switch 23a,East End,East End,historical alias
block,Block 12-6,OS 111b,OS Switch 23b,East End,East End,historical alias; CP in comment
block,Block 12-6,OS 111b (East End),OS Switch 23b,East End,East End,historical alias; CP in comment
block,Block 12-6,OS 23b,OS Switch 23b,East End,East End,historical alias
block,Block 12-6,Track 23b,OS Switch 23b,East End,East End,historical alias
block,Block 12-1,OS 107,OS Switch 25,East End,East End,historical alias; CP in comment
block,Block 12-1,OS 107 (East End),OS Switch 25,East End,East End,historical alias; CP in comment
block,Block 12-1,OS 25,OS Switch 25,East End,East End,historical alias
block,Block 12-1,Track 25,OS Switch 25,East End,East End,historical alias
block,Block 12-3,OS 108,OS Switch 27,East End,East End,historical alias; CP in comment
block,Block 12-3,OS 108 (East End),OS Switch 27,East End,East End,historical alias; CP in comment
block,Block 12-3,OS 27,OS Switch 27,East End,East End,historical alias
block,Block 12-3,Track 27,OS Switch 27,East End,East End,historical alias
block,Block 12-5,OS 109,OS Switch 29,East End,East End,historical alias; CP in comment
block,Block 12-5,OS 109 (East End),OS Switch 29,East End,East End,historical alias; CP in comment
block,Block 12-5,OS 29,OS Switch 29,East End,East End,historical alias
block,Block 12-5,Track 29,OS Switch 29,East End,East End,historical alias
block,Block 4-1,OS 101,OS Switch 3,Brick,Brick,historical alias; CP in comment
block,Block 4-1,OS 101 (Brick),OS Switch 3,Brick,Brick,historical alias; CP in comment
block,Block 4-1,OS 3,OS Switch 3,Brick,Brick,historical alias
block,Block 4-1,Track 3,OS Switch 3,Brick,Brick,historical alias
block,Block 12-7,OS 110,OS Switch 31,East End,East End,historical alias; CP in comment
block,Block 12-7,OS 110 (East End),OS Switch 31,East End,East End,historical alias; CP in comment
block,Block 12-7,OS 31,OS Switch 31,East End,East End,historical alias
block,Block 12-7,Track 31,OS Switch 31,East End,East End,historical alias
block,Block 12-8,OS 112,OS Switch 33,East End,East End,historical alias; CP in comment
block,Block 12-8,OS 112 (East End),OS Switch 33,East End,East End,historical alias; CP in comment
block,Block 12-8,OS 33,OS Switch 33,East End,East End,historical alias
block,Block 12-8,Track 33,OS Switch 33,East End,East End,historical alias
block,Block 1-6,OS 113a,OS Switch 35a,Princess,Princess,historical alias; CP in comment
block,Block 1-6,OS 113a (Princess),OS Switch 35a,Princess,Princess,historical alias; CP in comment
block,Block 1-6,OS 35a,OS Switch 35a,Princess,Princess,historical alias
block,Block 1-6,Track 35a,OS Switch 35a,Princess,Princess,historical alias
block,Block 1-5,OS 113b,OS Switch 35b,Princess,Princess,historical alias; CP in comment
block,Block 1-5,OS 113b (Princess),OS Switch 35b,Princess,Princess,historical alias; CP in comment
block,Block 1-5,OS 35b,OS Switch 35b,Princess,Princess,historical alias
block,Block 1-5,Track 35b,OS Switch 35b,Princess,Princess,historical alias
block,Block 1-3,OS 114,OS Switch 37,Princess,Princess,historical alias; CP in comment; same circuit as K-2
block,Block 1-3,OS 114 (Princess),OS Switch 37,Princess,Princess,historical alias; CP in comment; same circuit as K-2
block,Block 1-3,OS 37,OS Switch 37,Princess,Princess,historical alias
block,Block 1-3,Track 37,OS Switch 37,Princess,Princess,historical alias
block,Block 1-4,OS 115,OS Switch 39,Princess,Princess,historical alias; CP in comment; same circuit as K-1
block,Block 1-4,OS 115 (Princess),OS Switch 39,Princess,Princess,historical alias; CP in comment; same circuit as K-1
block,Block 1-4,OS 39,OS Switch 39,Princess,Princess,historical alias
block,Block 1-4,Track 39,OS Switch 39,Princess,Princess,historical alias
block,Block 4-5,OS 102,OS Switch 5,Plane,Plane,historical alias; CP in comment
block,Block 4-5,OS 102 (Plane),OS Switch 5,Plane,Plane,historical alias; CP in comment
block,Block 4-5,OS 5,OS Switch 5,Plane,Plane,historical alias
block,Block 4-5,Track 5,OS Switch 5,Plane,Plane,historical alias
block,Block 13-3,OS 117,OS Switch 7,Barn,Barn,historical alias; Barn CP crossover north/west leg
block,Block 13-3,OS 117 (West Yard),OS Switch 7,Barn,Barn,historical alias of OS 117
block,Block 13-3,OS 7,OS Switch 7,Barn,Barn,historical alias
block,Block 13-3,Track 7,OS Switch 7,Barn,Barn,historical alias
block,Block 13-4,OS 117b,OS Switch 7b,Barn,Barn,historical alias; MQTT 1303
block,Block 13-4,OS 117b (West Yard),OS Switch 7b,Barn,Barn,historical alias; MQTT 1303
block,Block 13-4,OS 7b,OS Switch 7b,Barn,Barn,historical alias
block,Block 13-4,Track 7b,OS Switch 7b,Barn,Barn,historical alias
block,Block 13-8,OS 119,OS Switch 9,Engine House,Engine House,historical alias; MQTT 1307
block,Block 13-8,OS 119 (West Yard),OS Switch 9,Engine House,Engine House,historical alias; MQTT 1307
block,Block 13-8,OS 9,OS Switch 9,Engine House,Engine House,historical alias
block,Block 13-8,Track 9,OS Switch 9,Engine House,Engine House,historical alias
block,Block 13-1,Barn,Track Barn,Barn,Barn,historical alias; MQTT 1300; 117 to 116; was Yard T6
block,Block 13-1,OS Barn,Track Barn,Barn,Barn,historical alias
block,Block 13-1,South Yard West,Track Barn,Barn,Barn,historical alias; alias after Scale/West public names
block,Block 13-1,Yard T6,Track Barn,Barn,Barn,historical alias; MQTT 1300; 117 to 116; was South Yard West
block,Block 4-6,Block 100-102,Track Brick-Plane,Brick,Brick,historical alias; alias retire
block,Block 4-6,Brick-Plane,Track Brick-Plane,Brick,Brick,historical alias; also listed as Block 100-102
block,Block 4-6,Main West Brick-Plane,Track Brick-Plane,Brick,Brick,historical alias; also listed as Block 100-102
block,Block 4-6,OS Brick-Plane,Track Brick-Plane,Brick,Brick,historical alias
block,Block 13-7,EH-1,Track EH-1,Engine House,Engine House,historical alias; top house; MQTT 1306 (swapped vs plate order vs EH-3)
block,Block 13-7,ET-3,Track EH-1,Engine House,Engine House,historical alias; CATS station alias
block,Block 13-7,Engine House 1,Track EH-1,Engine House,Engine House,historical alias; was Engine House 1; plate EH-1
block,Block 13-7,OS EH-1,Track EH-1,Engine House,Engine House,historical alias
block,Block 13-7,Yard T9,Track EH-1,Engine House,Engine House,historical alias; MQTT 1306
block,Block 13-6,EH-2,Track EH-2,Engine House,Engine House,historical alias; MQTT 1305
block,Block 13-6,ET-2,Track EH-2,Engine House,Engine House,historical alias; CATS station alias
block,Block 13-6,Engine House 2,Track EH-2,Engine House,Engine House,historical alias; was Engine House 2; plate EH-2
block,Block 13-6,OS EH-2,Track EH-2,Engine House,Engine House,historical alias
block,Block 13-6,Yard T10,Track EH-2,Engine House,Engine House,historical alias; MQTT 1305
block,Block 13-5,EH-3,Track EH-3,Engine House,Engine House,historical alias; bottom house; MQTT 1304 (swapped vs plate order vs EH-1)
block,Block 13-5,ET-1,Track EH-3,Engine House,Engine House,historical alias; CATS station alias
block,Block 13-5,Engine House 3,Track EH-3,Engine House,Engine House,historical alias; was Engine House 3; plate EH-3
block,Block 13-5,OS EH-3,Track EH-3,Engine House,Engine House,historical alias
block,Block 13-5,Yard T11,Track EH-3,Engine House,Engine House,historical alias; MQTT 1304
block,Block 1-7,East Lead,Track East Lead,East End,East End,historical alias; east of 110/112 toward Princess
block,Block 1-7,OS East Lead,Track East Lead,East End,East End,historical alias
block,Block 1-7,South Yard East,Track East Lead,East End,East End,historical alias; was South Yard East; dest East Lead
block,Block 4-7,East Main Ext,Track East Main Ext,Plane,Plane,historical alias; keep
block,Block 4-7,OS East Main Ext,Track East Main Ext,Plane,Plane,historical alias
block,Block 1-4,K-1,Track K-1,Princess,Princess,historical alias; keep; same sensor as OS 115
block,Block 1-4,OS K-1,Track K-1,Princess,Princess,historical alias
block,Block 1-3,K-2,Track K-2,Princess,Princess,historical alias; keep; same sensor as OS 114
block,Block 1-3,OS K-2,Track K-2,Princess,Princess,historical alias
block,Block 2-3,Main East,Track Main East,,,historical alias; keep
block,Block 2-3,OS Main East,Track Main East,,,historical alias
block,Block 2-1,Main West,Track Main West,,,historical alias; keep
block,Block 2-1,OS Main West,Track Main West,,,historical alias
block,Block 1-1,McKees Rocks,Track McKees Rocks,Princess,Princess,historical alias; keep
block,Block 1-1,OS McKees Rocks,Track McKees Rocks,Princess,Princess,historical alias
block,Block 1-2,McKeesport,Track McKeesport,Princess,Princess,historical alias; keep
block,Block 1-2,OS McKeesport,Track McKeesport,Princess,Princess,historical alias
block,Block 2-7,OS S-1,Track S-1,South Yard,South Yard,historical alias
block,Block 2-7,S-2,Track S-1,South Yard,South Yard,historical alias; plate S-1
block,Block 2-7,South Yard 2,Track S-1,South Yard,South Yard,historical alias; was South Yard 2; plate S-1
block,Block 2-7,Yard Track 2,Track S-1,South Yard,South Yard,historical alias; plate S-1
block,Block 2-7,S-2 East,Track S-1 East,South Yard,,historical alias; hidden S-1 east throat; same occupancy as S-1 (Block 2-7); hidden throat; same occupancy as Track S-1
block,Block 2-7,S-2 West,Track S-1 West,South Yard,,historical alias; hidden S-1 west throat; same occupancy as S-1 (Block 2-7); hidden throat; same occupancy as Track S-1
block,Block 2-6,OS S-2,Track S-2,South Yard,South Yard,historical alias
block,Block 2-6,S-3,Track S-2,South Yard,South Yard,historical alias; plate S-2
block,Block 2-6,South Yard 3,Track S-2,South Yard,South Yard,historical alias; was South Yard 3; plate S-2
block,Block 2-6,Yard Track 3,Track S-2,South Yard,South Yard,historical alias; plate S-2
block,Block 2-6,S-3 East,Track S-2 East,South Yard,,historical alias; hidden S-2 east throat; same occupancy as S-2 (Block 2-6); hidden throat; same occupancy as Track S-2
block,Block 2-6,S-3 West,Track S-2 West,South Yard,,historical alias; hidden S-2 west throat; same occupancy as S-2 (Block 2-6); hidden throat; same occupancy as Track S-2
block,Block 2-5,OS S-3,Track S-3,South Yard,South Yard,historical alias
block,Block 2-5,S-4,Track S-3,South Yard,South Yard,historical alias; plate S-3
block,Block 2-5,South Yard 4,Track S-3,South Yard,South Yard,historical alias; was South Yard 4; plate S-3
block,Block 2-5,Yard Track 4,Track S-3,South Yard,South Yard,historical alias; plate S-3
block,Block 2-5,S-4 East,Track S-3 East,South Yard,,historical alias; hidden S-3 east throat; same occupancy as S-3 (Block 2-5); hidden throat; same occupancy as Track S-3
block,Block 2-5,S-4 West,Track S-3 West,South Yard,,historical alias; hidden S-3 west throat; same occupancy as S-3 (Block 2-5); hidden throat; same occupancy as Track S-3
block,Block 2-4,OS S-4,Track S-4,South Yard,South Yard,historical alias
block,Block 2-4,S-5,Track S-4,South Yard,South Yard,historical alias; plate S-4
block,Block 2-4,South Yard 5,Track S-4,South Yard,South Yard,historical alias; was South Yard 5; plate S-4
block,Block 2-4,Yard Track 5,Track S-4,South Yard,South Yard,historical alias; plate S-4
block,Block 2-4,S-5 East,Track S-4 East,South Yard,,historical alias; hidden S-4 east throat; same occupancy as S-4 (Block 2-4); hidden throat; same occupancy as Track S-4
block,Block 2-4,S-5 West,Track S-4 West,South Yard,,historical alias; hidden S-4 west throat; same occupancy as S-4 (Block 2-4); hidden throat; same occupancy as Track S-4
block,Block 2-8,OS S-R,Track S-R,South Yard,South Yard,historical alias
block,Block 2-8,S-1,Track S-R,South Yard,South Yard,historical alias; run-through east of 103 to 110/112; plate S-R
block,Block 2-8,South Yard 1,Track S-R,South Yard,South Yard,historical alias; was South Yard 1; plate S-R
block,Block 2-8,Yard Track 1,Track S-R,South Yard,South Yard,historical alias; run-through east of 103 to 110/112; plate S-R
block,Block 2-8,S-1 East,Track S-R East,South Yard,,historical alias; hidden S-R east throat; same occupancy as S-R (Block 2-8); hidden throat; same occupancy as Track S-R
block,Block 2-8,S-1 West,Track S-R West,South Yard,,historical alias; hidden S-R west throat; same occupancy as S-R (Block 2-8); hidden throat; same occupancy as Track S-R
block,Block 4-8,OS Scale,Track Scale,Plane,Plane,historical alias
block,Block 4-8,Scale,Track Scale,Plane,Plane,historical alias; Plane diverging to 117; was Yard T1
block,Block 4-8,South Yard Scale,Track Scale,Plane,Plane,historical alias; alias after Scale/West public names
block,Block 4-8,Yard T1,Track Scale,Plane,Plane,historical alias; Plane diverging to 117; was South Yard Scale
block,Block 4-4,OS W-1,Track W-1,Brick,Brick,historical alias
block,Block 4-4,W-1,Track W-1,Brick,Brick,historical alias; yard body; access Switch 3 only; plate W-1
block,Block 4-4,West Yard 1,Track W-1,Brick,Brick,historical alias; yard body; access Switch 3 only; plate W-1
block,Block 4-3,OS W-2,Track W-2,Brick,Brick,historical alias
block,Block 4-3,W-2,Track W-2,Brick,Brick,historical alias; yard body; access Switch 3 only; plate W-2
block,Block 4-3,West Yard 2,Track W-2,Brick,Brick,historical alias; yard body; access Switch 3 only; plate W-2
block,Block 1-8,OS West Main Ext,Track West Main Ext,East End,East End,historical alias
block,Block 1-8,West Main Ext,Track West Main Ext,East End,East End,historical alias; keep
occupancy,M2S1300,Block 13-1,BS Barn,Barn,Node: 13 Block: 1,historical alias; canvas BS userName; comment stays Block 13-1
occupancy,M2S405,Block 4-6,BS Brick-Plane,Brick,Node: 4 Block: 6,historical alias; canvas BS userName; comment stays Block 4-6
occupancy,M2S1306,Block 13-7,BS EH-1,,Node: 13 Block: 7,historical alias; canvas BS userName; comment stays Block 13-7
occupancy,M2S1305,Block 13-6,BS EH-2,,Node: 13 Block: 6,historical alias; canvas BS userName; comment stays Block 13-6
occupancy,M2S1304,Block 13-5,BS EH-3,,Node: 13 Block: 5,historical alias; canvas BS userName; comment stays Block 13-5
occupancy,M2S106,Block 1-7,BS East Lead,East End,Node: 1 Block: 7,historical alias; canvas BS userName; comment stays Block 1-7
occupancy,M2S406,Block 4-7,BS East Main Ext,Plane,Node: 4 Block: 7,historical alias; canvas BS userName; comment stays Block 4-7
occupancy,M2S202,Block 2-3,BS Main East,,Node: 2 Block: 3,historical alias; canvas BS userName; comment stays Block 2-3
occupancy,M2S200,Block 2-1,BS Main West,,Node: 2 Block: 1,historical alias; canvas BS userName; comment stays Block 2-1
occupancy,M2S100,Block 1-1,BS McKees Rocks,Princess,Node: 1 Block: 1,historical alias; canvas BS userName; comment stays Block 1-1
occupancy,M2S101,Block 1-2,BS McKeesport,Princess,Node: 1 Block: 2,historical alias; canvas BS userName; comment stays Block 1-2
occupancy,M2S206,Block 2-7,BS S-1,South Yard,Node: 2 Block: 7,historical alias; canvas BS userName; comment stays Block 2-7
occupancy,M2S205,Block 2-6,BS S-2,South Yard,Node: 2 Block: 6,historical alias; canvas BS userName; comment stays Block 2-6
occupancy,M2S204,Block 2-5,BS S-3,South Yard,Node: 2 Block: 5,historical alias; canvas BS userName; comment stays Block 2-5
occupancy,M2S203,Block 2-4,BS S-4,South Yard,Node: 2 Block: 4,historical alias; canvas BS userName; comment stays Block 2-4
occupancy,M2S207,Block 2-8,BS S-R,South Yard,Node: 2 Block: 8,historical alias; canvas BS userName; comment stays Block 2-8
occupancy,M2S407,Block 4-8,BS Scale,Plane,Node: 4 Block: 8,historical alias; canvas BS userName; comment stays Block 4-8
occupancy,M2S401,Block 4-2,BS Switch 1,Brick,Node: 4 Block: 2,historical alias; canvas BS userName; comment stays Block 4-2
occupancy,M2S1301,Block 13-2,BS Switch 11,,Node: 13 Block: 2,historical alias; canvas BS userName; comment stays Block 13-2
occupancy,M2S300,Block 3-1,BS Switch 13,Engine House,Node: 3 Block: 1,historical alias; canvas BS userName; comment stays Block 3-1
occupancy,M2S301,Block 3-2,BS Switch 15,South Yard,Node: 3 Block: 2,historical alias; canvas BS userName; comment stays Block 3-2
occupancy,M2S302,Block 3-3,BS Switch 17,South Yard,Node: 3 Block: 3,historical alias; canvas BS userName; comment stays Block 3-3
occupancy,M2S304,Block 3-5,BS Switch 19,South Yard,Node: 3 Block: 5,historical alias; canvas BS userName; comment stays Block 3-5
occupancy,M2S306,Block 3-7,BS Switch 21,South Yard,Node: 3 Block: 7,historical alias; canvas BS userName; comment stays Block 3-7
occupancy,M2S1203,Block 12-4,BS Switch 23a,East End,Node: 12 Block: 4,historical alias; canvas BS userName; comment stays Block 12-4
occupancy,M2S1205,Block 12-6,BS Switch 23b,East End,Node: 12 Block: 6,historical alias; canvas BS userName; comment stays Block 12-6
occupancy,M2S1200,Block 12-1,BS Switch 25,East End,Node: 12 Block: 1,historical alias; canvas BS userName; comment stays Block 12-1
occupancy,M2S1202,Block 12-3,BS Switch 27,East End,Node: 12 Block: 3,historical alias; canvas BS userName; comment stays Block 12-3
