layer,current,proposed,cp,hardware,notes
head,113RA Bottom,Head 36RA Bottom,Princess,IH136,
head,113RA Top,Head 36RA Top,Princess,IH135,
head,113RB Bottom,Head 36RB Bottom,Princess,IH138,
head,113RB Top,Head 36RB Top,Princess,IH137,
head,114LA,Head 38LA,Princess,IH143,dwarf
head,114LB Bottom,Head 38LB Bottom,Princess,IH140,
head,114LB Top,Head 38LB Top,Princess,IH139,
head,115LA,Head 40LA,Princess,IH142,dwarf
head,115LB Bottom,Head 40LB Bottom,Princess,IH133,
head,115LB Top,Head 40LB Top,Princess,IH132,
head,117LA Bottom,Head 8LA Bottom,Barn,IH1338,
head,117LA Top,Head 8LA Top,Barn,IH1337,
head,117LB,Head 8LB,Barn,IH1334,dwarf
head,117RA Bottom,Head 8RA Bottom,Barn,IH1333,
head,117RA Top,Head 8RA Top,Barn,IH1332,
head,117RB Bottom,Head 8RB Bottom,Barn,IH1336,
head,117RB Top,Head 8RB Top,Barn,IH1335,
head,120L,Head 2035,Princess,IH141,dwarf lamps; field 2035; no switch
head,120R,Head 2036,Princess,IH134,dwarf lamps; field 2036; no switch
head,Brick West Yard 1,Head 4RA,Brick,IH436,historical alias; dwarf
head,Brick West Yard 2,Head 4RB,Brick,IH437,historical alias; dwarf
head,Brick East Main West Top,Head 2L Top,Brick,IH438,historical alias of 100L Top
head,Brick East Main West Bottom,Head 2L Bottom,Brick,IH439,historical alias of 100L Bottom
head,Plane East OS 102,Head 6LA,Plane,IH434,historical alias; dwarf; was Top of 2-head
head,Plane East East Main Ext Top,Head 6LB Top,Plane,IH432,historical alias of 102LB Top
head,Plane East East Main Ext Bottom,Head 6LB Bottom,Plane,IH433,historical alias of 102LB Bottom
head,West Yard West OS 117 Top,Head 8RA Top,Barn,IH1332,historical alias of 117RA Top
head,West Yard West OS 117 Bottom,Head 8RA Bottom,Barn,IH1333,historical alias of 117RA Bottom
head,West Yard West East Main Ext Top,Head 8RB Top,Barn,IH1335,historical alias of 117RB Top
head,West Yard West East Main Ext Bottom,Head 8RB Bottom,Barn,IH1336,historical alias of 117RB Bottom
head,West Yard East OS 117b Top,Head 8LA Top,Barn,IH1337,historical alias of 117LA Top
head,West Yard East OS 117b Bottom,Head 8LA Bottom,Barn,IH1338,historical alias of 117LA Bottom
head,West Yard East Yard T6,Head 8LB,Barn,IH1334,historical alias; dwarf
head,East End West Main West Top,Head 24RA Top,East End,IH1232,historical alias of 111RA Top
head,East End West Main West Bottom,Head 24RA Bottom,East End,IH1233,historical alias of 111RA Bottom
head,East End West Yard Track 1,Head 24RB,East End,IH1236,historical alias; dwarf
head,East End East OS 111a Top,Head 24L Top,East End,IH1234,historical alias of 111L Top
head,East End East OS 111a Bottom,Head 24L Bottom,East End,IH1235,historical alias of 111L Bottom
head,East End South OS 110,Head 32R,East End,IH1239,historical alias; dwarf
head,East End South OS 112 Top,Head 34R Top,East End,IH1240,historical alias of 112R Top
head,East End South OS 112 Bottom,Head 34R Bottom,East End,IH1241,historical alias of 112R Bottom
head,East End East Lead Top,Head 34L Top,East End,IH1237,historical alias of 112L Top
head,East End East Lead Bottom,Head 34L Bottom,East End,IH1238,historical alias of 112L Bottom
head,Princess West OS 113b Top,Head 36RA Top,Princess,IH135,historical alias of 113RA Top
head,Princess West OS 113b Bottom,Head 36RA Bottom,Princess,IH136,historical alias of 113RA Bottom
head,Princess West OS 113a Top,Head 36RB Top,Princess,IH137,historical alias of 113RB Top
head,Princess West OS 113a Bottom,Head 36RB Bottom,Princess,IH138,historical alias of 113RB Bottom
head,Princess East McKeesport,Head 2036,Princess,IH134,historical alias; dwarf; field 2036 (was 120R); no switch; Princess intermediates
head,Princess East K-2,Head 38LA,Princess,IH143,historical alias; dwarf
head,Princess South McKeesport Top,Head 38LB Top,Princess,IH139,historical alias of 114LB Top
head,Princess South McKeesport Bottom,Head 38LB Bottom,Princess,IH140,historical alias of 114LB Bottom
head,Princess East McKees Rocks,Head 2035,Princess,IH141,historical alias; dwarf; field 2035 (was 120L); no switch; Princess intermediates
head,Princess East K-1,Head 40LA,Princess,IH142,historical alias; dwarf
head,Princess North McKees Rocks Top,Head 40LB Top,Princess,IH132,historical alias of 115LB Top
head,Princess North McKees Rocks Bottom,Head 40LB Bottom,Princess,IH133,historical alias of 115LB Bottom
fb,Switch 1-1 FB N,FB Switch 35 N,,M2S167,canvas FB Switch N N/R
fb,Switch 1-1 FB R,FB Switch 35 R,,M2S168,canvas FB Switch N N/R
fb,Switch 1-2 FB N,FB Switch 37 N,,M2S169,canvas FB Switch N N/R
fb,Switch 1-2 FB R,FB Switch 37 R,,M2S170,canvas FB Switch N N/R
fb,Switch 1-3 FB N,FB Switch 39 N,,M2S171,canvas FB Switch N N/R
fb,Switch 1-3 FB R,FB Switch 39 R,,M2S172,canvas FB Switch N N/R
fb,Switch 3-1 FB N,FB Switch 15 N,,M2S367,canvas FB Switch N N/R
fb,Switch 3-1 FB R,FB Switch 15 R,,M2S368,canvas FB Switch N N/R
fb,Switch 3-2 FB N,FB Switch 17 N,,M2S369,canvas FB Switch N N/R
fb,Switch 3-2 FB R,FB Switch 17 R,,M2S370,canvas FB Switch N N/R
fb,Switch 3-3 FB N,FB Switch 19 N,,M2S371,canvas FB Switch N N/R
fb,Switch 3-3 FB R,FB Switch 19 R,,M2S372,canvas FB Switch N N/R
